movieId,title,genres,rating,year
187,Gold Diggers of 1933,"['Comedy', 'Drama', 'Musical']",8.1,1933
188,Going Hollywood,"['Musical', 'Romance']",8.1,1933
189,The Invisible Man,"['Drama', 'Horror', 'Sci-Fi']",7.7,1933
190,King Kong,"['Adventure', 'Fantasy']",8.0,1933
191,Little Women,"['Drama', 'Family', 'Romance']",7.4,1933
192,The Power and the Glory,['Drama'],6.9,1933
193,The Private Life of Henry VIII.,"['Biography', 'Comedy', 'Drama']",7.3,1933
194,Queen Christina,"['Biography', 'Drama', 'History']",7.9,1933
195,She Done Him Wrong,"['Comedy', 'Drama', 'History']",6.5,1933
196,Sons of the Desert,['Comedy'],7.8,1933
197,The Son of Kong,"['Adventure', 'Comedy', 'Fantasy']",5.8,1933
198,State Fair,"['Comedy', 'Drama', 'Romance']",7.0,1933
199,Three Little Pigs,"['Animation', 'Musical', 'Family']",7.6,1933
200,Topaze,"['Drama', 'Comedy']",6.8,1933
201,Wild Boys of the Road,"['Adventure', 'Drama']",7.5,1933
202,Zoo in Budapest,"['Drama', 'Romance']",7.0,1933
203,Zero for Conduct,"['Short', 'Comedy', 'Drama']",7.5,1933
204,The Barretts of Wimpole Street,"['Biography', 'Drama', 'Romance']",7.1,1934
205,The Black Cat,"['Horror', 'Crime', 'Adventure']",7.2,1934
206,Broadway Bill,"['Comedy', 'Drama']",6.8,1934
207,Chapayev,"['Comedy', 'Drama', 'History']",7.3,1934
208,Cleopatra,"['Biography', 'Drama', 'History']",6.9,1934
209,The Count of Monte Cristo,"['Action', 'Adventure', 'Drama']",7.7,1934
210,Death Takes a Holiday,"['Drama', 'Fantasy', 'Romance']",7.2,1934
211,Dames,"['Comedy', 'Musical', 'Romance']",7.2,1934
212,The Gay Divorcee,"['Comedy', 'Musical', 'Romance']",7.6,1934
213,Le grand jeu,"['Drama', 'Romance']",7.3,1934
214,Imitation of Life,"['Drama', 'Romance']",7.6,1934
215,It Happened One Night,"['Comedy', 'Romance']",8.2,1934
216,It's a Gift,['Comedy'],7.5,1934
217,Little Miss Marker,"['Comedy', 'Family', 'Drama']",7.1,1934
218,The Lost Patrol,"['Adventure', 'War']",7.0,1934
219,Man of Aran,['Documentary'],7.6,1934
220,Maria Chapdelaine,['Drama'],6.9,1934
221,The Man Who Knew Too Much,"['Crime', 'Film-Noir', 'Mystery']",6.9,1934
222,Les Misèrables,"['Drama', 'History']",7.9,1934
223,Masquerade in Vienna,"['Comedy', 'Romance']",7.9,1934
224,One Night of Love,"['Music', 'Romance']",6.0,1934
225,The Private Life of Don Juan,"['Comedy', 'Drama', 'Romance']",6.4,1934
226,The Scarlet Empress,"['Drama', 'History', 'Romance']",7.8,1934
227,Everybody's Woman,['Drama'],7.5,1934
228,Tarzan and His Mate,"['Action', 'Adventure']",7.6,1934
229,The Thin Man,"['Comedy', 'Crime', 'Mystery']",8.2,1934
230,Toni,['Drama'],7.4,1935
231,Triumph of the Will,"['Documentary', 'War']",7.5,1935
232,A Story of Floating Weeds,['Drama'],8.0,1934
233,Twentieth Century,"['Comedy', 'Romance']",7.9,1934
234,Moscow Laughs,"['Comedy', 'Musical']",7.2,1934
235,Viva Villa!,"['Biography', 'Western']",6.6,1934
236,The 39 Steps,"['Mystery', 'Thriller']",7.8,1935
237,The World Moves On,"['Drama', 'History', 'Romance']",5.9,1934
238,Wonder Bar,"['Crime', 'Drama', 'Musical']",7.0,1934
239,Anna Karenina,"['Drama', 'Romance']",7.1,1935
240,The Band Concert,"['Family', 'Comedy', 'Animation']",7.9,1935
241,Becky Sharp,"['Drama', 'Romance', 'War']",6.1,1935
242,Alice Adams,"['Comedy', 'Drama', 'Romance']",7.1,1935
243,Black Fury,"['Crime', 'Drama', 'Romance']",6.7,1935
244,Bride of Frankenstein,"['Horror', 'Sci-Fi']",7.9,1935
245,Broadway Melody of 1936,"['Musical', 'Romance']",6.9,1935
246,China Seas,"['Action', 'Drama', 'Adventure']",7.0,1935
247,Curly Top,"['Family', 'Musical', 'Romance']",6.9,1935
248,Dante's Inferno,['Drama'],6.7,1935
249,The Crusades,"['Adventure', 'Drama', 'History']",6.8,1935
250,David Copperfield,"['Adventure', 'Drama', 'Romance']",7.6,1935
251,The Dark Angel,"['Drama', 'Romance']",6.9,1935
252,The Devil Is a Woman,"['Comedy', 'Drama', 'Romance']",7.2,1935
253,Folies Bergère de Paris,"['Comedy', 'Musical']",6.8,1935
254,The Gilded Lily,"['Comedy', 'Romance']",7.2,1935
255,The Ghost Goes West,"['Comedy', 'Fantasy', 'Horror']",6.8,1935
256,Gold Diggers of 1935,"['Comedy', 'Musical']",7.6,1935
257,The Informer,['Drama'],7.6,1935
258,Carnival in Flanders,"['Comedy', 'History', 'Romance']",7.6,1935
259,The Lives of a Bengal Lancer,"['Adventure', 'Drama']",7.4,1935
260,A Midsummer Night's Dream,"['Comedy', 'Fantasy', 'Romance']",7.1,1935
261,Les Misèrables,"['Drama', 'History', 'Romance']",7.7,1935
262,Mutiny on the Bounty,"['Adventure', 'Drama', 'History']",7.8,1935
263,Naughty Marietta,"['Drama', 'Musical', 'Romance']",7.0,1935
264,A Night at the Opera,"['Comedy', 'Music', 'Musical']",8.1,1935
265,The New Gulliver,"['Animation', 'Fantasy']",6.9,1935
266,Roberta,"['Comedy', 'Musical', 'Romance']",7.2,1935
267,Ruggles of Red Gap,"['Comedy', 'Romance']",7.8,1935
268,Sanders of the River,"['Adventure', 'Drama']",5.6,1935
269,Scrooge,"['Drama', 'Family', 'Fantasy']",6.6,1935
